HandoverType,Radio Time,4G Configuration Duration,5G Configuration Duration
4G_4G,0.019,0.037,
4G_4G,0.031,0.05,
4G_4G,0.03,0.046,
4G_4G,0.027,0.041,
4G_4G,0.044,0.054,
4G_4G,0.022,0.04,
4G_4G,0.019,0.033,
4G_4G,0.02,0.035,
4G_4G,0.016,0.028,
4G_4G,0.015,0.025,
4G_4G,0.015,0.026,
4G_4G,0.024,0.04,
4G_4G,0.02,0.037,
4G_4G,0.025,0.042,
4G_4G,0.027,0.045,
4G_4G,0.026,0.036,
4G_4G,0.023,0.033,
4G_4G,0.026,0.045,
4G_4G,0.023,0.038,
4G_4G,0.032,0.051,
4G_4G,0.015,0.032,
4G_4G,0.034,0.051,
4G_4G,0.037,0.048,
4G_4G,0.026,0.044,
4G_4G,0.024,0.038,
4G_4G,0.026,0.043,
4G_4G,0.031,0.052,
4G_4G,0.031,0.045,
4G_4G,0.029,0.043,
4G_4G,0.029,0.04,
4G_4G,0.03,0.048,
4G_4G,0.033,0.046,
4G_4G,0.043,0.055,
4G_4G,0.031,0.045,
4G_4G,0.038,0.053,
4G_4G,0.032,0.05,
4G_4G,0.021,0.035,
4G_4G,0.016,0.031,
4G_4G,0.018,0.032,
4G_4G,0.018,0.031,
4G_4G,0.017,0.028,
4G_4G,0.02,0.035,
4G_4G,0.024,0.038,
4G_4G,0.027,0.042,
4G_4G,0.029,0.048,
4G_4G,0.027,0.037,
4G_4G,0.026,0.041,
4G_4G,0.023,0.032,
4G_4G,0.025,0.038,
4G_4G,0.031,0.051,
4G_4G,0.026,0.036,
4G_4G,0.022,0.034,
4G_4G,0.024,0.036,
4G_4G,0.017,0.027,
4G_4G,0.016,0.032,
4G_4G,0.023,0.035,
4G_4G,0.021,0.039,
4G_4G,0.023,0.04,
4G_4G,0.026,0.043,
4G_4G,0.027,0.041,
4G_4G,0.03,0.04,
4G_4G,0.031,0.048,
4G_4G,0.023,0.032,
4G_4G,0.029,0.045,
4G_4G,0.025,0.041,
4G_4G,0.038,0.054,
4G_4G,0.033,0.052,
4G_4G,0.023,0.043,
4G_4G,0.024,0.038,
4G_4G,0.029,0.041,
4G_4G,0.022,0.034,
4G_4G,0.03,0.046,
4G_4G,0.03,0.048,
4G_4G,0.029,0.049,
4G_4G,0.019,0.035,
4G_4G,0.019,0.033,
4G_4G,0.029,0.048,
4G_4G,0.027,0.043,
4G_4G,0.03,0.044,
4G_4G,0.032,0.043,
4G_4G,0.026,0.036,
4G_4G,0.018,0.035,
4G_4G,0.023,0.041,
4G_4G,0.023,0.039,
4G_4G,0.03,0.042,
4G_4G,0.026,0.042,
4G_4G,0.025,0.033,
4G_4G,0.024,0.036,
4G_4G,0.026,0.038,
4G_4G,0.026,0.042,
4G_4G,0.028,0.039,
4G_4G,0.023,0.037,
4G_4G,0.03,0.046,
4G_4G,0.022,0.037,
4G_4G,0.027,0.044,
4G_4G,0.028,0.038,
4G_4G,0.028,0.042,
4G_4G,0.023,0.038,
4G_4G,0.022,0.032,
4G_4G,0.018,0.032,
4G_4G,0.015,0.03,
4G_4G,0.018,0.036,
4G_4G,0.028,0.046,
4G_4G,0.027,0.042,
4G_4G,0.028,0.043,
4G_4G,0.026,0.038,
4G_4G,0.022,0.038,
4G_4G,0.02,0.037,
4G_4G,0.032,0.048,
4G_4G,0.039,0.056,
4G_4G,0.03,0.045,
4G_4G,0.043,0.055,
4G_4G,0.037,0.047,
4G_4G,0.03,0.044,
4G_4G,0.024,0.04,
4G_4G,0.038,0.048,
4G_4G,0.037,0.055,
4G_4G,0.026,0.035,
4G_4G,0.033,0.047,
4G_4G,0.027,0.042,
4G_4G,0.031,0.045,
4G_4G,0.034,0.045,
4G_4G,0.028,0.046,
4G_5GNSA,0.068,0.138,0.306
5GNSA_5GChange,0.033,,0.095
4G_4G,0.058,0.075,
4G_4G,0.031,0.049,
4G_4G,0.025,0.037,
4G_4G,0.018,0.036,
4G_4G,0.023,0.042,
4G_4G,0.017,0.034,
4G_4G,0.024,0.042,
4G_4G,0.022,0.036,
4G_4G,0.019,0.029,
4G_4G,0.02,0.032,
4G_4G,0.017,0.032,
4G_4G,0.022,0.038,
4G_4G,0.018,0.03,
4G_4G,0.018,0.035,
4G_4G,0.017,0.031,
4G_4G,0.019,0.029,
4G_4G,0.017,0.032,
4G_4G,0.019,0.035,
4G_4G,0.02,0.032,
4G_4G,0.017,0.027,
4G_4G,0.018,0.033,
4G_4G,0.018,0.03,
4G_4G,0.019,0.035,
4G_4G,0.019,0.03,
